study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.181,0.28562400000000004,4.003437260970417,3.927302482472787,0.09771915220154916,0.0121753439376471
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.142,0.34174400000000005,1.1602942540961376,1.0221997209155198,0.10278963349934202,0.011037934589405754
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.128,0.39317,1.235707052727034,0.906401305943968,0.10293099389981944,0.010564847372300274
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.107,0.430276,1.2887594803686357,0.7710410330418167,0.1028252309015952,0.009775019181566858
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.29957,1.0771938596694532,1.0752574741908592,0.10254527339921334,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_300_60_rho0p5,100,300,60,5.0,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.40522941349087815,3.6024124180271397,3.5193244961900803,0.005588522999314591,0.0
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_90_60_rho0p5,100,90,60,1.5,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.084,0.5057494699529176,-0.02222869649568444,-0.004795936418889053,0.0005438468967331573,0.008771772910877254
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_90_60_rho0p5,100,90,60,1.5,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.016,0.559608,3.6318481335205357,3.5976666323413715,0.07537077040004078,0.003967870965643918
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_90_60_rho0p5,100,90,60,1.5,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.064,0.402202,1.0553573833250178,0.9621354062387384,0.08121693229884841,0.007739767438366608
study_size_unbalanced_ratio,size_unbalanced_chisq1_toeplitz_100_90_60_rho0p5,100,90,60,1.5,toeplitz,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.071,0.43668599999999996,1.0678236332121163,0.8367901468192639,0.08125300390005577,0.008121514637061242
