p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,60,60,laplace,equicorrelation,0.9,Wang-NR,1000,0.039,0.006122009474020765
200,60,60,laplace,equicorrelation,0.1,Li-Chen,1000,0.086,0.008865889690267977
200,60,60,laplace,equicorrelation,0.1,Max-bootstrap,1000,0.027,0.00512552436341883
200,60,60,laplace,equicorrelation,0.1,Ours-C(0.3),1000,0.053,0.00708456067798138
200,60,60,laplace,equicorrelation,0.1,Ours-C(0.5),1000,0.056,0.007270763371201128
200,60,60,laplace,equicorrelation,0.1,Ours-C(0.7),1000,0.055,0.00720936890441875
200,60,60,laplace,equicorrelation,0.1,Ours-I,1000,0.001,0.0009994998749374609
200,60,60,laplace,equicorrelation,0.1,Wang-NR,1000,0.015,0.003843826218756514
200,60,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.127,0.010529529904036551
200,60,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.053,0.00708456067798138
200,60,60,laplace,equicorrelation,0.5,Ours-C(0.3),1000,0.046,0.006624499981130651
200,60,60,laplace,equicorrelation,0.5,Ours-C(0.5),1000,0.046,0.006624499981130651
200,60,60,laplace,equicorrelation,0.5,Ours-C(0.7),1000,0.046,0.006624499981130651
200,60,60,laplace,equicorrelation,0.5,Ours-I,1000,0.045,0.0065555320150236475
200,60,60,laplace,equicorrelation,0.5,Wang-NR,1000,0.04,0.0061967733539318665
200,60,60,laplace,equicorrelation,0.9,Li-Chen,1000,0.177,0.012069424178476784
200,60,60,laplace,equicorrelation,0.9,Max-bootstrap,1000,0.056,0.007270763371201128
200,60,60,laplace,equicorrelation,0.9,Ours-C(0.3),1000,0.051,0.00695693898205238
200,60,60,laplace,equicorrelation,0.9,Ours-C(0.5),1000,0.052,0.007021111023192838
200,60,60,laplace,equicorrelation,0.9,Ours-C(0.7),1000,0.051,0.00695693898205238
200,60,60,laplace,equicorrelation,0.9,Ours-I,1000,0.049,0.006826346021115542
200,60,60,laplace,equicorrelation,0.9,Wang-NR,1000,0.046,0.006624499981130651
100,60,60,laplace,toeplitz,0.1,Li-Chen,1000,0.049,0.006826346021115542
100,60,60,laplace,toeplitz,0.1,Max-bootstrap,1000,0.014,0.003715373467095872
100,60,60,laplace,toeplitz,0.1,Ours-C(0.3),1000,0.042,0.0063431853196954605
100,60,60,laplace,toeplitz,0.1,Ours-C(0.5),1000,0.05,0.006892024376045111
100,60,60,laplace,toeplitz,0.1,Ours-C(0.7),1000,0.05,0.006892024376045111
100,60,60,laplace,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,60,60,laplace,toeplitz,0.1,Wang-NR,1000,0.0,0.0
100,60,60,laplace,toeplitz,0.5,Li-Chen,1000,0.06,0.007509993342207435
100,60,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.036,0.005891010100144117
100,60,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.058,0.007391616873188166
100,60,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.061,0.0075682891065286355
100,60,60,laplace,toeplitz,0.5,Ours-C(0.7),1000,0.062,0.007626008130076967
100,60,60,laplace,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,60,60,laplace,toeplitz,0.5,Wang-NR,1000,0.001,0.0009994998749374609
100,60,60,laplace,toeplitz,0.9,Li-Chen,1000,0.076,0.008379976133617566
100,60,60,laplace,toeplitz,0.9,Max-bootstrap,1000,0.064,0.007739767438366608
100,60,60,laplace,toeplitz,0.9,Ours-C(0.3),1000,0.047,0.006692607862410586
100,60,60,laplace,toeplitz,0.9,Ours-C(0.5),1000,0.051,0.00695693898205238
100,60,60,laplace,toeplitz,0.9,Ours-C(0.7),1000,0.05,0.006892024376045111
100,60,60,laplace,toeplitz,0.9,Ours-I,1000,0.023,0.004740358636221525
100,60,60,laplace,toeplitz,0.9,Wang-NR,1000,0.029,0.005306505441436953
200,60,60,laplace,toeplitz,0.1,Li-Chen,1000,0.044,0.006485676526007136
200,60,60,laplace,toeplitz,0.1,Max-bootstrap,1000,0.014,0.003715373467095872
200,60,60,laplace,toeplitz,0.1,Ours-C(0.3),1000,0.054,0.007147307185227175
200,60,60,laplace,toeplitz,0.1,Ours-C(0.5),1000,0.052,0.007021111023192838
200,60,60,laplace,toeplitz,0.1,Ours-C(0.7),1000,0.056,0.007270763371201128
200,60,60,laplace,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,60,60,laplace,toeplitz,0.1,Wang-NR,1000,0.0,0.0
200,60,60,laplace,toeplitz,0.5,Li-Chen,1000,0.048,0.006759881655768835
200,60,60,laplace,toeplitz,0.5,Max-bootstrap,1000,0.031,0.0054807846153630225
200,60,60,laplace,toeplitz,0.5,Ours-C(0.3),1000,0.06,0.007509993342207435
200,60,60,laplace,toeplitz,0.5,Ours-C(0.5),1000,0.056,0.007270763371201128
200,60,60,laplace,toeplitz,0.5,Ours-C(0.7),1000,0.06,0.007509993342207435
200,60,60,laplace,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,60,60,laplace,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,60,60,laplace,toeplitz,0.9,Li-Chen,1000,0.065,0.007795832219846705
200,60,60,laplace,toeplitz,0.9,Max-bootstrap,1000,0.063,0.007683163410991596
200,60,60,laplace,toeplitz,0.9,Ours-C(0.3),1000,0.059,0.007451107300260815
200,60,60,laplace,toeplitz,0.9,Ours-C(0.5),1000,0.058,0.007391616873188166
200,60,60,laplace,toeplitz,0.9,Ours-C(0.7),1000,0.054,0.007147307185227175
200,60,60,laplace,toeplitz,0.9,Ours-I,1000,0.007,0.0026364749192814255
200,60,60,laplace,toeplitz,0.9,Wang-NR,1000,0.023,0.004740358636221525
